Date, Open, High, Low, Close
07/31/20, 10741.47, 10747.81, 10557.70, 10745.27
07/30/20, 10450.12, 10609.59, 10412.09, 10587.81
07/29/20, 10474.70, 10567.91, 10464.00, 10542.94
07/28/20, 10509.20, 10523.64, 10397.88, 10402.09
07/27/20, 10421.70, 10546.43, 10399.86, 10536.27
07/24/20, 10294.41, 10418.75, 10217.31, 10363.18
07/23/20, 10689.50, 10728.12, 10407.88, 10461.42
07/22/20, 10687.58, 10745.32, 10627.45, 10706.13
07/21/20, 10837.88, 10839.93, 10650.47, 10680.36
07/20/20, 10526.02, 10783.80, 10488.04, 10767.09
07/17/20, 10500.52, 10532.62, 10421.21, 10503.19
07/16/20, 10443.87, 10499.79, 10364.40, 10473.83
07/15/20, 10576.72, 10604.67, 10420.54, 10550.49
07/14/20, 10310.25, 10497.84, 10182.46, 10488.58
07/13/20, 10729.92, 10824.78, 10368.04, 10390.84
07/10/20, 10545.91, 10622.35, 10447.01, 10617.44
07/09/20, 10563.72, 10578.10, 10379.91, 10547.75
07/08/20, 10409.35, 10494.63, 10350.96, 10492.50
07/07/20, 10412.46, 10518.98, 10337.98, 10343.89
07/06/20, 10360.38, 10462.05, 10354.98, 10433.65
07/02/20, 10268.67, 10310.36, 10194.06, 10207.63
07/01/20, 10063.67, 10197.19, 10048.04, 10154.63
06/30/20, 9875.28, 10085.59, 9863.67, 10058.77
06/29/20, 9771.72, 9877.34, 9663.61, 9874.15
06/26/20, 9995.12, 10000.67, 9749.07, 9757.22
06/25/20, 9899.36, 10023.28, 9810.47, 10017.00
06/24/20, 10092.92, 10137.50, 9842.22, 9909.17
06/23/20, 10130.83, 10221.85, 10112.44, 10131.37
06/22/20, 9945.49, 10059.60, 9916.60, 10056.47
06/19/20, 10042.13, 10053.91, 9872.94, 9946.12
06/18/20, 9892.48, 9959.20, 9885.66, 9943.05
06/17/20, 9943.31, 9991.21, 9891.81, 9910.53
06/16/20, 9949.78, 9963.63, 9748.38, 9895.87
06/15/20, 9426.90, 9756.07, 9403.00, 9726.02
