Date, Open, High, Low, Close
07/31/20, 12509.33, 12509.34, 12320.73, 12465.05
07/30/20, 12491.46, 12544.80, 12393.80, 12533.28
07/29/20, 12533.46, 12688.69, 12533.47, 12669.62
07/28/20, 12515.84, 12563.45, 12482.27, 12491.22
07/27/20, 12481.01, 12556.56, 12444.52, 12553.13
07/24/20, 12488.68, 12522.19, 12427.66, 12461.78
07/23/20, 12567.17, 12617.18, 12459.06, 12510.87
07/22/20, 12485.96, 12578.98, 12480.73, 12569.07
07/21/20, 12492.08, 12570.71, 12481.97, 12508.68
07/20/20, 12413.15, 12432.77, 12352.72, 12392.98
07/17/20, 12395.76, 12427.49, 12339.87, 12402.74
07/16/20, 12310.18, 12381.38, 12295.69, 12350.11
07/15/20, 12377.65, 12419.81, 12309.26, 12391.32
07/14/20, 11989.41, 12215.15, 11963.50, 12204.21
07/13/20, 12159.75, 12242.68, 12000.98, 12014.66
07/10/20, 11935.30, 12079.11, 11906.21, 12075.58
07/09/20, 12089.24, 12103.16, 11831.04, 11928.63
07/08/20, 12023.57, 12095.18, 11971.89, 12086.40
07/07/20, 12056.21, 12107.95, 11979.77, 11990.14
07/06/20, 12181.29, 12218.19, 12114.32, 12160.01
07/02/20, 12088.70, 12138.83, 11970.80, 11991.52
07/01/20, 11907.83, 11982.23, 11858.82, 11901.55
06/30/20, 11736.75, 11934.97, 11724.57, 11893.78
06/29/20, 11683.07, 11777.64, 11605.47, 11777.08
06/26/20, 11796.41, 11814.01, 11578.81, 11604.43
06/25/20, 11680.39, 11866.19, 11640.02, 11865.11
06/24/20, 11956.29, 11961.62, 11650.91, 11726.53
06/23/20, 12157.37, 12176.43, 12068.09, 12077.75
06/22/20, 11963.30, 12045.65, 11907.22, 12028.91
06/19/20, 12240.31, 12240.31, 11946.96, 11980.12
06/18/20, 11994.46, 12110.20, 11984.71, 12072.59
06/17/20, 12193.41, 12202.58, 12068.22, 12086.49
06/16/20, 12304.14, 12318.75, 11992.98, 12161.47
06/15/20, 11565.82, 11997.65, 11525.36, 11942.91
06/12/20, 11999.48, 12030.94, 11640.59, 11867.17
06/11/20, 12090.13, 12099.18, 11636.01, 11659.16
06/10/20, 12616.63, 12628.91, 12431.56, 12449.22
06/09/20, 12635.60, 12682.74, 12578.54, 12619.52
06/08/20, 12734.55, 12836.68, 12688.56, 12836.59
06/05/20, 12640.98, 12752.15, 12600.70, 12641.44
06/04/20, 12236.74, 12328.51, 12202.36, 12286.98
06/03/20, 12175.06, 12329.29, 12175.06, 12302.19
06/02/20, 11978.05, 12046.41, 11945.09, 12046.41
06/01/20, 11799.92, 11928.81, 11781.88, 11900.24
05/29/20, 11750.97, 11817.39, 11645.71, 11802.94
05/28/20, 11935.88, 11939.74, 11783.22, 11804.91
05/27/20, 11787.57, 11837.55, 11602.43, 11837.53
05/26/20, 11636.54, 11676.96, 11590.31, 11603.00
05/22/20, 11325.08, 11333.65, 11247.29, 11331.97
05/21/20, 11393.92, 11447.26, 11287.43, 11351.60
05/20/20, 11408.61, 11477.33, 11384.36, 11420.03
05/19/20, 11374.23, 11409.66, 11248.54, 11248.97
05/18/20, 11282.89, 11454.34, 11282.89, 11402.23
05/15/20, 10855.93, 10968.17, 10817.12, 10947.32
05/14/20, 10661.93, 10927.85, 10551.55, 10927.41
05/13/20, 11035.23, 11038.38, 10747.81, 10829.44
05/12/20, 11332.42, 11343.39, 11055.58, 11055.58
05/11/20, 11244.25, 11345.43, 11205.40, 11281.36
05/08/20, 11281.30, 11360.11, 11237.52, 11354.34
05/07/20, 11140.93, 11228.25, 11109.56, 11121.67
05/06/20, 11196.87, 11204.53, 10999.99, 10999.99
05/05/20, 11188.97, 11259.19, 11124.69, 11135.40
05/04/20, 10965.77, 11061.97, 10900.39, 11056.28
05/01/20, 11158.87, 11187.77, 11011.46, 11058.57
04/30/20, 11473.23, 11492.91, 11326.20, 11372.34
04/29/20, 11546.40, 11675.30, 11513.09, 11618.23
04/28/20, 11462.38, 11481.31, 11272.78, 11319.69
04/27/20, 11106.03, 11301.31, 11086.96, 11264.84
04/24/20, 11000.70, 11050.01, 10868.93, 11017.90
04/23/20, 10961.24, 11099.00, 10905.84, 10916.68
04/22/20, 10919.97, 10955.50, 10844.77, 10908.56
04/21/20, 10763.67, 10861.79, 10667.29, 10706.44
04/20/20, 11016.88, 11181.81, 10985.06, 11003.88
04/17/20, 11101.32, 11231.27, 11030.42, 11208.29
04/16/20, 10882.83, 10891.68, 10718.13, 10818.03
04/15/20, 10861.97, 10903.06, 10760.96, 10843.93
04/14/20, 11151.16, 11241.23, 11064.63, 11172.19
04/13/20, 11109.00, 11109.00, 10817.15, 10949.53
04/09/20, 11070.32, 11272.48, 11019.82, 11136.61
04/08/20, 10641.51, 10939.97, 10538.65, 10902.59
04/07/20, 10894.20, 10912.56, 10534.73, 10537.04
04/06/20, 10264.13, 10560.73, 10233.04, 10515.24
04/03/20, 10012.47, 10075.91, 9774.24, 9880.63
04/02/20, 9815.27, 10142.01, 9813.51, 10062.37
04/01/20, 9917.31, 10029.00, 9766.81, 9844.85
03/31/20, 10387.73, 10499.80, 10237.22, 10301.87
03/30/20, 10238.13, 10455.77, 10131.60, 10434.75
03/27/20, 10135.73, 10449.22, 10064.50, 10187.21
03/26/20, 10060.49, 10556.90, 10060.48, 10536.28
03/25/20, 9749.80, 10303.90, 9591.74, 9961.39
03/24/20, 9276.64, 9672.01, 9276.64, 9658.32
03/23/20, 9014.58, 9053.49, 8664.94, 8777.38
03/20/20, 9577.90, 9676.94, 9108.15, 9133.16
03/19/20, 9313.76, 9622.21, 9048.36, 9461.31
03/18/20, 9562.49, 9666.57, 8953.60, 9384.60
03/17/20, 9726.18, 10154.16, 9484.65, 10063.36
03/16/20, 10413.70, 10413.70, 9559.23, 9567.53
03/13/20, 10445.44, 10851.98, 10060.35, 10851.98
03/12/20, 10466.70, 10646.91, 10054.47, 10060.77
03/11/20, 11523.94, 11523.94, 11053.78, 11177.28
03/10/20, 11635.22, 11794.00, 11246.52, 11793.27
03/09/20, 11748.61, 11748.61, 11240.77, 11298.43
03/06/20, 12287.42, 12393.37, 12106.74, 12352.03
03/05/20, 12740.86, 12786.65, 12489.77, 12593.03
03/04/20, 12696.61, 13011.45, 12673.90, 13009.96
03/03/20, 12845.06, 13015.66, 12432.52, 12542.74
03/02/20, 12441.43, 12830.13, 12316.18, 12827.99
02/28/20, 12195.81, 12383.43, 12024.45, 12380.97
02/27/20, 12841.40, 12977.18, 12544.99, 12547.25
02/26/20, 13194.31, 13323.34, 13041.94, 13046.62
02/25/20, 13570.21, 13582.74, 13110.09, 13143.73
02/24/20, 13654.00, 13654.00, 13493.68, 13534.12
02/21/20, 14014.63, 14014.63, 13931.13, 13975.78
02/20/20, 14061.04, 14104.91, 13955.75, 14061.48
02/19/20, 14077.51, 14115.95, 14066.25, 14087.13
02/18/20, 14047.91, 14072.69, 13990.70, 14039.02
02/14/20, 14104.77, 14110.19, 14046.60, 14097.34
02/13/20, 14069.25, 14132.88, 14049.13, 14099.03
02/12/20, 14117.83, 14148.24, 14108.52, 14136.98
02/11/20, 14051.86, 14100.27, 14039.00, 14054.08
02/10/20, 13904.02, 13984.55, 13899.53, 13984.48
02/07/20, 13987.51, 13987.51, 13912.04, 13931.93
02/06/20, 14066.90, 14069.33, 14023.48, 14034.95
02/05/20, 13964.00, 14029.91, 13947.59, 14024.86
02/04/20, 13826.10, 13920.63, 13826.09, 13862.84
02/03/20, 13655.89, 13765.33, 13655.89, 13677.92
01/31/20, 13783.81, 13788.23, 13573.03, 13614.10
01/30/20, 13745.20, 13869.64, 13699.81, 13861.92
01/29/20, 13912.79, 13922.44, 13843.79, 13843.81
01/28/20, 13812.66, 13913.59, 13798.34, 13877.60
01/27/20, 13746.64, 13826.43, 13742.01, 13769.60
01/24/20, 14120.02, 14120.02, 13920.57, 13978.47
01/23/20, 14064.28, 14109.59, 14003.28, 14102.04
01/22/20, 14147.89, 14168.20, 14104.06, 14110.23
