Symbol,Name,Sector,Industry,Headquarters,Next/Last Reporting Date,Price,Change,Change (%),52 Week Low,52 Week High,Year to Date,Close Price,Open Price,Day Low,Day High,Earnings Growth (Last Year),Earnings Growth (This Year),Earnings Growth (Next Five Years),Revenue Growth (Last Year),P/E Ratio,Price/Sales,Price/Book,EPS Forecast,Net Profit Margin (%),Volume,Average Volume,Market Cap (in Millions),Annual Revenue Last Year (in Millions),Annual Profit Last Year (in Millions)
MMM,3M Co,Producer Manufacturing,Industrial Conglomerates,"St. Paul, Minnesota","October 27, 2020",150.49,0.02,0.01,114.04,182.55,-14.7,150.47,151.88,148.82,151.88,-12.87,-7.88,5.56,-1.92,17.1,3.21,8.6,2.12,14.22,506,3671873,86700.0,32100.0,4600.0
AXP,American Express Co,Finance,Financial Conglomerates,"New York, New York","October 14, 2020",93.3,-0.02,-0.02,67.0,138.13,-25.05,93.32,94.33,92.23,94.44,0.99,-62.0,10.0,8.64,19.3,2.2,3.28,1.16,14.27,2609,6290817,75100.0,47000.0,6700.0
AAPL,Apple Inc,Electronic Technology,Telecommunications Equipment,"Cupertino, California","October 29, 2020",425.02,40.28,10.47,192.58,425.66,44.74,384.76,411.54,403.3,425.66,-0.37,8.27,12.0,-2.2,33.2,3.91,20.87,2.84,21.25,93573867,38278433,1800000.0,260000.0,55300.0
BA,Boeing Co,Electronic Technology,Aerospace & Defense,"Chicago, Illinois","October 21, 2020",158.01,0.01,0.01,89.0,391.0,-51.49,158.0,161.62,156.27,163.36,-106.23,-105.72,-240.3,-24.29,,2.41,,-1.81,-0.83,42196,44123165,89200.0,76600.0,-636.0
CAT,Caterpillar Inc,Producer Manufacturing,Trucks/Construction/Farm Machinery,"Deerfield, Illinois","October 27, 2020",132.84,-0.04,-0.03,87.5,150.55,-10.05,132.88,132.4,130.23,135.07,4.42,-53.78,5.0,-1.7,14.0,1.56,5.01,1.15,11.33,1718,4344570,71900.0,53800.0,6100.0
CVX,Chevron Corp,Energy Minerals,Integrated Oil,"San Ramon, California","October 30, 2020",83.96,0.02,0.02,51.6,125.27,-30.33,83.94,83.1,81.51,84.06,-80.11,-93.69,-5.88,-11.72,40.4,1.63,1.1,-0.08,2.09,2155,11463743,156700.0,140200.0,2900.0
CSCO,Cisco Systems Inc,Technology Services,Information Technology Services,"San Jose, California","August 13, 2020",47.1,0.66,1.42,32.4,56.89,-1.79,46.44,46.39,45.86,47.11,13050.0,1.55,5.0,5.21,18.6,4.85,5.96,0.74,22.39,17706367,23869205,198900.0,51900.0,11600.0
KO,Coca-Cola Co,Consumer Non-Durables,Beverages: Non-Alcoholic,"Atlanta, Georgia","October 21, 2020",47.23,-0.01,-0.02,36.27,60.13,-14.67,47.24,47.45,46.74,47.77,38.09,-13.98,0.64,17.59,22.3,6.41,10.65,0.46,23.93,2095,19489726,202900.0,37300.0,8900.0
DOW,Dow Inc,Process Industries,Chemicals: Specialty,"Midland, Michigan","October 22, 2020",41.05,-0.01,-0.02,21.95,56.25,-25.0,41.06,41.7,40.6,41.91,,-75.65,-1.81,-28.75,,0.95,2.25,0.14,-4.18,932,6152185,30400.0,43000.0,-1400.0
XOM,Exxon Mobil Corp,Energy Minerals,Integrated Oil,"Irving, Texas","October 30, 2020",42.09,0.01,0.02,30.11,75.18,-39.68,42.08,41.2,40.91,42.17,-31.18,-103.48,22.33,-8.31,15.8,1.16,0.93,-0.04,5.6,6846,28935300,177900.0,256000.0,14300.0
GS,Goldman Sachs Group Inc,Finance,Investment Banks/Brokers,"New York, New York","October 20, 2020",197.92,-0.04,-0.02,130.85,250.46,-13.92,197.96,199.91,196.52,199.91,-16.93,-18.34,12.0,16.46,10.7,1.53,0.87,4.18,15.0,1405,3860522,68100.0,56400.0,8500.0
