Symbol,Name,Sector,Industry,Headquarters,Next/Last Reporting Date,Price,Change,Change (%),52 Week Low,52 Week High,Year to Date,Close Price,Open Price,Day Low,Day High,Earnings Growth (Last Year),Earnings Growth (This Year),Earnings Growth (Next Five Years),Revenue Growth (Last Year),P/E Ratio,Price/Sales,Price/Book,EPS Forecast,Net Profit Margin (%),Volume,Average Volume,Market Cap (in Millions),Annual Revenue Last Year (in Millions),Annual Profit Last Year (in Millions)
MMM,3M Co,Producer Manufacturing,Industrial Conglomerates,"St. Paul, Minnesota","October 27, 2020",150.49,0.02,0.01,114.04,182.55,-14.7,150.47,151.88,148.82,151.88,-12.87,-7.88,5.56,-1.92,17.1,3.21,8.6,2.12,14.22,25.0,3671873.0,86700.0,32100.0,4600.0
AOS,A. O. Smith Corp,Producer Manufacturing,Building Products,"Milwaukee, Wisconsin","October 21, 2020",48.14,-0.32,-0.66,33.81,53.72,1.05,48.46,48.86,47.16,49.31,-14.12,-18.22,8.0,-6.12,24.0,2.65,4.69,0.5,12.36,2758750.0,1518726.0,7800.0,3000.0,370.0
ABT,Abbott Laboratories,Health Technology,Medical Specialties,"Abbott Park, Illinois","October 14, 2020",100.65,0.01,0.01,61.61,102.89,15.88,100.64,101.39,99.12,101.39,54.92,-0.22,10.0,4.34,58.5,4.85,5.71,0.88,11.49,4604259.0,8140713.0,178200.0,31900.0,3700.0
ABBV,Abbvie Inc,Health Technology,Pharmaceuticals: Major,"North Chicago, Illinois","October 30, 2020",94.9,-0.01,-0.01,62.55,101.28,7.18,94.91,96.27,93.61,97.24,44.28,16.67,7.0,1.57,16.8,3.95,,2.76,23.57,14614332.0,10044205.0,167300.0,33300.0,7800.0
ABMD,ABIOMED Inc,Health Technology,Medical Specialties,"Danvers, Massachusetts","August 6, 2020",299.63,1.03,0.34,119.01,302.97,75.64,298.91,300.2,294.22,302.97,-22.09,-22.46,14.4,9.29,67.7,7.91,12.67,0.33,24.14,282274.0,512794.0,13500.0,840.9,203.0
ACN,Accenture PLC,Technology Services,Information Technology Services,"Dublin, Dublin","September 24, 2020",224.83,0.05,0.02,137.15,225.74,6.77,224.78,223.34,221.0,224.95,15.94,3.75,10.0,3.87,29.4,2.98,9.92,1.72,11.06,1495514.0,2439989.0,149200.0,43200.0,4800.0
ATVI,Activision Blizzard Inc,Consumer Durables,Recreational Products,"Santa Monica, California","August 5, 2020",82.63,0.93,1.14,44.91,83.45,39.06,81.7,82.81,81.76,83.45,-17.66,23.43,13.11,-13.92,40.9,7.1,4.96,0.69,23.3,8923266.0,7929428.0,63700.0,6500.0,1500.0
ADBE,Adobe Inc,Technology Services,Packaged Software,"San Jose, California","September 15, 2020",444.41,5.44,1.24,255.13,470.61,34.75,438.88,441.98,434.8,444.44,14.95,24.14,16.0,23.94,58.6,13.67,20.35,2.41,26.51,2035254.0,3168480.0,213100.0,11100.0,3000.0
AAP,Advance Auto Parts Inc,Retail Trade,Specialty Stores,"Raleigh, North Carolina","August 18, 2020",150.14,-2.73,-1.79,71.33,171.43,-6.26,152.87,152.66,147.55,153.35,19.51,-19.74,10.0,1.34,27.3,1.16,2.93,1.86,5.01,829005.0,1001741.0,10400.0,9700.0,486.9
AMD,Advanced Micro Devices Inc,Electronic Technology,Semiconductors,"Santa Clara, California","October 15, 2020",77.43,-0.77,-0.98,27.43,78.96,68.83,78.2,78.67,75.36,78.96,-8.06,71.39,20.0,3.95,148.9,7.68,32.05,0.35,5.07,71699667.0,67928691.0,90900.0,6700.0,341.0
