,Date,Total Traveler Throughput,Total Traveler Throughput (1 Year Ago - Same Weekday)
0,7/30/2020,"718,310","2,742,882"
1,7/30/2020,"718,310","2,742,882"
2,7/30/2020,"718,310","2,742,882"
3,7/29/2020,"573,200","2,542,365"
4,7/29/2020,"573,200","2,542,365"
5,7/29/2020,"573,200","2,542,365"
6,7/28/2020,"536,756","2,438,967"
7,7/28/2020,"536,756","2,438,967"
8,7/28/2020,"536,756","2,438,967"
9,7/27/2020,"700,043","2,613,346"
10,7/27/2020,"700,043","2,613,346"
11,7/27/2020,"700,043","2,613,346"
12,7/26/2020,"751,205","2,700,723"
13,7/26/2020,"751,205","2,700,723"
14,7/26/2020,"751,205","2,700,723"
15,7/25/2020,"649,027","2,364,925"
16,7/25/2020,"649,027","2,364,925"
17,7/25/2020,"649,027","2,364,925"
18,7/24/2020,"724,770","2,732,770"
19,7/24/2020,"724,770","2,732,770"
20,7/24/2020,"724,770","2,732,770"
21,7/23/2020,"704,815","2,705,399"
22,7/23/2020,"704,815","2,705,399"
23,7/23/2020,"704,815","2,705,399"
24,7/22/2020,"570,951","2,561,911"
25,7/22/2020,"570,951","2,561,911"
26,7/22/2020,"570,951","2,561,911"
27,7/21/2020,"530,421","2,499,460"
28,7/21/2020,"530,421","2,499,460"
29,7/21/2020,"530,421","2,499,460"
30,7/20/2020,"695,330","2,635,312"
31,7/20/2020,"695,330","2,635,312"
32,7/20/2020,"695,330","2,635,312"
33,7/19/2020,"747,422","2,727,355"
34,7/19/2020,"747,422","2,727,355"
35,7/19/2020,"747,422","2,727,355"
36,7/18/2020,"646,654","2,396,462"
37,7/18/2020,"646,654","2,396,462"
38,7/18/2020,"646,654","2,396,462"
39,7/17/2020,"720,378","2,776,960"
40,7/17/2020,"720,378","2,776,960"
41,7/17/2020,"720,378","2,776,960"
42,7/16/2020,"706,164","2,716,828"
43,7/16/2020,"706,164","2,716,828"
44,7/16/2020,"706,164","2,716,828"
45,7/15/2020,"589,285","2,522,563"
46,7/15/2020,"589,285","2,522,563"
47,7/15/2020,"589,285","2,522,563"
48,7/14/2020,"540,268","2,447,177"
49,7/14/2020,"540,268","2,447,177"
50,7/14/2020,"540,268","2,447,177"
51,7/13/2020,"697,985","2,615,115"
52,7/13/2020,"697,985","2,615,115"
53,7/13/2020,"697,985","2,615,115"
54,7/12/2020,"754,545","2,669,717"
55,7/12/2020,"754,545","2,669,717"
56,7/12/2020,"754,545","2,669,717"
57,7/11/2020,"656,284","2,312,178"
58,7/11/2020,"656,284","2,312,178"
59,7/11/2020,"656,284","2,312,178"
60,7/10/2020,"711,124","2,716,812"
61,7/10/2020,"711,124","2,716,812"
62,7/10/2020,"711,124","2,716,812"
63,7/9/2020,"709,653","2,608,209"
64,7/9/2020,"709,653","2,608,209"
65,7/9/2020,"709,653","2,608,209"
66,7/8/2020,"632,498","2,515,902"
67,7/8/2020,"632,498","2,515,902"
68,7/8/2020,"632,498","2,515,902"
69,7/7/2020,"641,761","2,506,859"
70,7/7/2020,"641,761","2,506,859"
71,7/7/2020,"641,761","2,506,859"
72,7/6/2020,"755,555","2,748,718"
73,7/6/2020,"755,555","2,748,718"
74,7/6/2020,"755,555","2,748,718"
75,7/5/2020,"732,123","2,795,369"
76,7/5/2020,"732,123","2,795,369"
77,7/5/2020,"732,123","2,795,369"
78,7/4/2020,"466,669","2,345,846"
79,7/4/2020,"466,669","2,345,846"
80,7/4/2020,"466,669","2,345,846"
81,7/3/2020,"718,988","2,184,253"
82,7/3/2020,"718,988","2,184,253"
83,7/3/2020,"718,988","2,184,253"
84,7/2/2020,"764,761","2,088,760"
85,7/2/2020,"764,761","2,088,760"
86,7/2/2020,"764,761","2,088,760"
87,7/1/2020,"626,516","2,547,889"
88,7/1/2020,"626,516","2,547,889"
89,7/1/2020,"626,516","2,547,889"
90,6/30/2020,"500,054","2,347,767"
91,6/30/2020,"500,054","2,347,767"
92,6/30/2020,"500,054","2,347,767"
